,playerId,action_season,name,team,action_date
0,8477456,2024,J.T. Compher,DET,2024-06-29
1,8477429,2024,Andrew Copp,DET,2024-06-29
2,8484160,2024,Nate Danielson,DET,2024-06-29
3,8479337,2024,Alex DeBrincat,DET,2024-06-29
4,8484107,2024,Alexandre Doucet,DET,2024-06-29
5,8480326,2024,Sheldon Dries,DET,2024-06-29
6,8484471,2024,Emmitt Finnie,DET,2024-06-29
7,8478432,2024,Christian Fischer,DET,2024-06-29
8,8479364,2024,Tim Gettinger,DET,2024-06-29
9,8482106,2024,Cross Hanas,DET,2024-06-29
10,8474141,2024,Patrick Kane,DET,2024-06-29
11,8483464,2024,Marco Kasper,DET,2024-06-29
12,8477946,2024,Dylan Larkin,DET,2024-06-29
13,8483695,2024,Amadeus Lombardi,DET,2024-06-29
14,8482802,2024,Carter Mazur,DET,2024-06-29
15,8477353,2024,Tyler Motte,DET,2024-06-29
16,8479992,2024,Michael Rasmussen,DET,2024-06-29
17,8484966,2024,Jakub Rychlovsky,DET,2024-06-29
18,8481441,2024,Joe Snively,DET,2024-06-29
19,8481725,2024,Elmer Soderblom,DET,2024-06-29
20,8475765,2024,Vladimir Tarasenko,DET,2024-06-29
21,8480813,2024,Joe Veleno,DET,2024-06-29
22,8482777,2024,Shai Buium,DET,2024-06-29
23,8475279,2024,Ben Chiarot,DET,2024-06-29
24,8482060,2024,Tory Dello,DET,2024-06-29
25,8482762,2024,Simon Edvinsson,DET,2024-06-29
26,8476979,2024,Erik Gustafsson,DET,2024-06-29
27,8475718,2024,Justin Holl,DET,2024-06-29
28,8481607,2024,Albert Johansson,DET,2024-06-29
29,8478021,2024,William Lagesson,DET,2024-06-29
30,8476874,2024,Olli Maatta,DET,2024-06-29
31,8473507,2024,Jeff Petry,DET,2024-06-29
32,8481479,2024,Brogan Rafferty,DET,2024-06-29
33,8484223,2024,Axel Sandin-Pellikka ,DET,2024-06-29
34,8481587,2024,Antti Tuomisto,DET,2024-06-29
35,8482163,2024,Eemil Viro,DET,2024-06-29
36,8482171,2024,William Wallinder,DET,2024-06-29
37,8482936,2024,Gage Alexander,DET,2024-06-29
38,8475789,2024,Jack Campbell,DET,2024-06-29
39,8482657,2024,Sebastian Cossa,DET,2024-06-29
40,8481757,2024,Carter Gylander,DET,2024-06-29
41,8478024,2024,Ville Husso,DET,2024-06-29
42,8479312,2024,Alex Lyon,DET,2024-06-29
43,8475660,2024,Cam Talbot,DET,2024-06-29
44,8481556,2024,John Beecher,BOS,2024-06-29
45,8479638,2024,Justin Brazeau,BOS,2024-06-29
46,8477887,2024,Patrick Brown,BOS,2024-06-29
47,8475745,2024,Charlie Coyle,BOS,2024-06-29
48,8482213,2024,Riley Duran,BOS,2024-06-29
49,8481558,2024,John Farinacci,BOS,2024-06-29
50,8479365,2024,Trent Frederic,BOS,2024-06-29
51,8479987,2024,Morgan Geekie,BOS,2024-06-29
52,8482739,2024,Brett Harrison,BOS,2024-06-29
53,8479368,2024,Max Jones,BOS,2024-06-29
54,8480355,2024,Mark Kastelic,BOS,2024-06-29
55,8481043,2024,Cole Koepke,BOS,2024-06-29
56,8482479,2024,Trevor Kuntar,BOS,2024-06-29
57,8479968,2024,Vinni Lettieri,BOS,2024-06-29
58,8477496,2024,Elias Lindholm,BOS,2024-06-29
59,8482763,2024,Fabian Lysell,BOS,2024-06-29
60,8473419,2024,Brad Marchand,BOS,2024-06-29
61,8483397,2024,Marc McLaughlin,BOS,2024-06-29
62,8483567,2024,Georgii Merkulov,BOS,2024-06-29
63,8484899,2024,Jaxon Nelson,BOS,2024-06-29
64,8477956,2024,David Pastrnak,BOS,2024-06-29
65,8483505,2024,Matthew Poitras,BOS,2024-06-29
66,8479705,2024,Jeffrey Viel,BOS,2024-06-29
67,8479362,2024,Riley Tufte,BOS,2024-06-29
68,8478401,2024,Pavel Zacha,BOS,2024-06-29
69,8484813,2024,Drew Bavaro,BOS,2024-06-29
70,8483017,2024,Frederic Brunet,BOS,2024-06-29
71,8480828,2024,Michael Callahan,BOS,2024-06-29
72,8478443,2024,Brandon Carlo,BOS,2024-06-29
73,8483438,2024,Jackson Edward,BOS,2024-06-29
74,8476854,2024,Hampus Lindholm,BOS,2024-06-29
75,8482511,2024,Mason Lohrei,BOS,2024-06-29
76,8482893,2024,Ryan Mast,BOS,2024-06-29
77,8479325,2024,Charlie McAvoy,BOS,2024-06-29
78,8480070,2024,Ian Mitchell,BOS,2024-06-29
79,8477851,2024,Jordan Oesterle,BOS,2024-06-29
80,8479369,2024,Andrew Peeke,BOS,2024-06-29
81,8480831,2024,Alec Regula,BOS,2024-06-29
82,8482399,2024,Billy Sweezey,BOS,2024-06-29
83,8478450,2024,Parker Wotherspoon,BOS,2024-06-29
84,8477507,2024,Nikita Zadorov,BOS,2024-06-29
85,8483548,2024,Brandon Bussi,BOS,2024-06-29
86,8480022,2024,Michael DiPietro,BOS,2024-06-29
87,8476914,2024,Joonas Korpisalo,BOS,2024-06-29
88,8478569,2024,Noel Acciari,PIT,2024-06-29
89,8482456,2024,Raivis Ansons,PIT,2024-06-29
90,8478463,2024,Anthony Beauvillier,PIT,2024-06-29
