,playerId,action_season,action_date,prediction,gameScore,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_oZoneShiftStarts,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_goals,OnIce_F_mediumDangerShots,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_highDangerGoals,OnIce_F_xGoalsFromActualReboundsOfShots,mean_5years_regular_all_gameScore,mean_5years_regular_all_onIce_xGoalsPercentage,mean_5years_regular_all_offIce_xGoalsPercentage,mean_5years_regular_all_onIce_corsiPercentage,mean_5years_regular_all_onIce_fenwickPercentage,mean_5years_regular_all_I_F_xOnGoal,mean_5years_regular_all_I_F_xGoals,mean_5years_regular_all_I_F_xRebounds,mean_5years_regular_all_I_F_xPlayStopped,mean_5years_regular_all_I_F_xPlayContinuedInZone,mean_5years_regular_all_I_F_flurryAdjustedxGoals,mean_5years_regular_all_I_F_scoreVenueAdjustedxGoals,mean_5years_regular_all_I_F_flurryScoreVenueAdjustedxGoals,mean_5years_regular_all_I_F_primaryAssists,mean_5years_regular_all_I_F_shotsOnGoal,mean_5years_regular_all_I_F_points,mean_5years_regular_all_I_F_goals,mean_5years_regular_all_I_F_reboundGoals,mean_5years_regular_all_I_F_playStopped,mean_5years_regular_all_I_F_playContinuedOutsideZone,mean_5years_regular_all_I_F_savedShotsOnGoal,mean_5years_regular_all_I_F_savedUnblockedShotAttempts,mean_5years_regular_all_I_F_mediumDangerShots,mean_5years_regular_all_I_F_highDangerShots,mean_5years_regular_all_I_F_lowDangerxGoals,mean_5years_regular_all_I_F_mediumDangerxGoals,mean_5years_regular_all_I_F_highDangerxGoals,mean_5years_regular_all_I_F_mediumDangerGoals,mean_5years_regular_all_I_F_highDangerGoals,mean_5years_regular_all_I_F_unblockedShotAttempts,mean_5years_regular_all_I_F_scoreAdjustedUnblockedShotAttempts,mean_5years_regular_all_I_F_xGoalsFromxReboundsOfShots,mean_5years_regular_all_I_F_xGoals_with_earned_rebounds,mean_5years_regular_all_I_F_xGoals_with_earned_rebounds_scoreAdjusted,mean_5years_regular_all_I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,mean_5years_playoffs_all_onIce_corsiPercentage,mean_5years_playoffs_all_onIce_fenwickPercentage,mean_5years_playoffs_all_offIce_fenwickPercentage,mean_5years_playoffs_all_I_F_xGoals,mean_5years_playoffs_all_I_F_xPlayContinuedInZone,mean_5years_playoffs_all_I_F_flurryAdjustedxGoals,mean_5years_playoffs_all_I_F_scoreVenueAdjustedxGoals,mean_5years_playoffs_all_I_F_flurryScoreVenueAdjustedxGoals,mean_5years_playoffs_all_I_F_points,mean_5years_playoffs_all_I_F_highDangerShots,mean_5years_playoffs_all_I_F_lowDangerxGoals,mean_5years_playoffs_all_I_F_highDangerxGoals,mean_5years_playoffs_all_I_F_unblockedShotAttempts,mean_5years_playoffs_all_I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted
312,8476329,2024,2024-06-29,561.4157,4.53,0.46,0.4,0.41,12.71,1.17,1.08,2.82,0.47,7.53,4.93,1.13,1.19,1.16,4.0,12.0,6.0,26.0,8.0,2.0,5.0,0.0,8.0,1.0,10.0,16.0,7.0,0.0,0.39,0.77,0.0,1.0,1.0,0.0,26.37,18.0,18.31,0.23,0.86,0.01,1.39,1.42,1.38,27.0,6.77,10.0,24.0,2.31,5.0,2.0,2.43,11.280000000000001,0.44399999999999995,0.476,0.466,0.46399999999999997,51.717999999999996,6.831999999999999,4.483999999999999,1.764,28.048000000000002,6.536,6.781999999999999,6.489999999999999,6.2,48.8,19.4,8.4,1.2,1.4,24.6,40.4,62.8,27.2,7.0,1.384,3.368,2.0780000000000003,4.2,2.0,71.2,70.598,1.0100000000000002,6.581999999999999,6.542,6.386,0.41,0.39,0.49,0.19,1.8,0.19,0.18,0.18,1.0,0.0,0.11,0.0,4.0,0.22
313,8478493,2024,2024-06-29,598.9018,73.7,0.57,0.55,0.56,279.51,39.29,24.08,62.68,9.48,131.6,93.88,35.51,39.35,35.53,15.0,268.0,93.0,425.0,64.0,30.0,38.0,3.0,133.0,113.0,238.0,331.0,90.0,61.0,5.58,11.78,21.94,7.0,10.0,13.0,426.84,361.0,362.3,6.05,8.76,12.37,32.99,33.0,30.88,361.0,118.17,125.0,278.0,57.22,34.0,49.0,26.63,52.086,0.53,0.49799999999999994,0.504,0.512,190.28,24.910000000000004,15.338,6.208,92.776,23.248,24.992,23.318,14.0,192.2,46.8,21.2,4.0,4.2,85.4,171.0,228.4,68.0,34.0,4.095999999999999,8.58,12.238,8.0,10.2,249.6,250.70999999999998,3.6740000000000004,21.318,21.366,20.45,0.37249999999999994,0.37749999999999995,0.48,1.2225000000000001,5.602499999999999,1.1825,1.2374999999999998,1.1975,2.25,1.25,0.2575,0.3425,14.75,1.2525
314,8475220,2024,2024-06-29,549.719,24.16,0.45,0.45,0.45,58.59,8.83,4.52,12.42,2.05,31.68,24.5,8.66,8.87,8.7,8.0,56.0,28.0,108.0,22.0,10.0,4.0,1.0,35.0,25.0,46.0,74.0,30.0,10.0,1.64,3.72,3.47,2.0,4.0,4.0,108.98,84.0,84.57,0.98,0.96,1.22,8.59,8.61,8.48,111.0,33.66,30.0,82.0,13.41,10.0,12.0,7.07,28.056,0.476,0.524,0.466,0.472,75.952,10.436,5.674,2.37,38.414,10.168000000000001,10.491999999999999,10.218,9.0,72.8,27.0,12.4,2.6,2.0,35.0,60.4,90.2,30.4,12.2,2.16,3.7739999999999996,4.504,5.0,4.6,102.6,103.256,1.2400000000000002,9.35,9.354,9.226000000000003,0.48999999999999994,0.5,0.485,0.92,3.5025000000000004,0.8799999999999999,0.8975000000000001,0.8574999999999999,1.5,1.0,0.14,0.2775,9.25,0.8475
315,8477919,2024,2024-06-29,556.2494,11.87,0.4,0.45,0.46,101.99,6.44,6.19,23.06,3.19,56.64,44.48,6.34,6.48,6.38,4.0,105.0,35.0,185.0,15.0,5.0,3.0,0.0,45.0,62.0,100.0,135.0,20.0,2.0,3.46,2.43,0.55,1.0,4.0,0.0,186.73,140.0,141.29,1.32,0.79,0.33,7.43,7.46,7.38,130.0,34.67,25.0,95.0,10.22,3.0,10.0,5.86,24.697499999999998,0.45999999999999996,0.54,0.46499999999999997,0.46499999999999997,94.475,8.9625,6.235,2.9675,50.224999999999994,8.627500000000001,9.100000000000001,8.7675,8.25,98.75,26.75,10.0,0.25,1.75,49.5,88.75,118.75,31.75,5.75,2.815,3.8274999999999997,2.3225000000000002,4.75,2.25,128.75,130.7075,1.36,8.96,9.0925,8.83,0.5,0.5033333333333333,0.5433333333333333,1.0133333333333334,6.496666666666667,0.9933333333333333,1.0066666666666666,0.9866666666666667,2.3333333333333335,1.0,0.3233333333333333,0.2733333333333334,17.0,0.9733333333333333
316,8477451,2024,2024-06-29,612.6002,48.64,0.52,0.53,0.53,197.3,22.96,13.5,43.75,6.67,99.14,76.99,22.23,22.9,22.18,12.0,173.0,90.0,345.0,45.0,21.0,12.0,3.0,97.0,104.0,152.0,242.0,57.0,28.0,5.1,7.58,10.28,1.0,8.0,12.0,343.8,263.0,263.09,3.12,2.03,4.32,21.76,21.78,21.22,212.0,66.15,71.0,161.0,26.56,16.0,22.0,12.51,42.525999999999996,0.522,0.508,0.514,0.518,160.298,16.766000000000002,10.828,5.279999999999999,84.15799999999999,16.198,16.869999999999997,16.306,12.6,149.6,37.8,17.2,2.0,6.8,89.8,132.4,201.0,47.0,17.4,4.68,6.022,6.064,6.6,6.0,218.2,220.538,2.414,16.434,16.578,16.224,0.4975,0.515,0.47750000000000004,1.2,5.935,1.18,1.2075,1.1875,3.0,1.0,0.2875,0.365,15.5,1.2625000000000002
317,8475149,2024,2024-06-29,578.69366,30.4,0.58,0.55,0.56,125.79,13.04,8.78,29.15,4.33,67.55,49.16,11.9,13.03,11.9,9.0,112.0,60.0,246.0,30.0,11.0,9.0,1.0,53.0,76.0,101.0,161.0,35.0,10.0,4.33,4.38,4.32,6.0,4.0,1.0,247.12,172.0,172.51,1.93,2.2,2.85,12.12,12.15,11.39,204.0,70.27,52.0,177.0,27.21,20.0,13.0,14.94,27.898000000000003,0.53,0.4779999999999999,0.534,0.53,100.382,10.751999999999999,7.462000000000001,3.3579999999999997,53.84400000000001,10.148,10.738,10.139999999999999,11.2,98.6,29.6,10.8,1.0,2.8,50.2,87.8,125.4,31.6,9.4,3.2640000000000002,3.91,3.5740000000000003,4.0,2.0,136.2,136.348,1.6959999999999997,10.058,10.078,9.75,0.49333333333333335,0.48333333333333334,0.4533333333333333,1.26,3.813333333333333,1.24,1.27,1.25,1.3333333333333333,1.3333333333333333,0.17666666666666667,0.5733333333333334,10.333333333333334,1.3166666666666667
318,8478864,2024,2024-06-29,670.6762,99.17,0.68,0.63,0.63,300.8,38.57,23.13,65.48,10.19,167.31,109.32,35.1,38.66,35.19,33.0,277.0,137.0,582.0,96.0,46.0,28.0,8.0,141.0,135.0,231.0,368.0,104.0,38.0,7.96,13.02,17.59,10.0,15.0,21.0,585.26,414.0,415.93,5.48,5.67,8.83,35.23,35.22,32.77,342.0,130.83,136.0,335.0,58.37,33.0,50.0,31.01,87.6925,0.6325000000000001,0.44999999999999996,0.6124999999999999,0.615,257.245,31.362499999999997,19.325,8.475,143.985,29.405,31.475,29.515,28.75,246.0,82.5,40.0,6.25,4.25,119.25,206.0,313.0,85.25,33.0,7.6975,10.36,13.302500000000002,13.75,14.25,353.0,355.0525,4.5525,29.835,29.93,28.612500000000004,0.5866666666666668,0.5933333333333333,0.4166666666666667,2.8233333333333337,13.033333333333331,2.663333333333333,2.8166666666666664,2.6599999999999997,4.0,4.0,0.6766666666666666,1.4400000000000002,32.0,2.3033333333333332
319,8480880,2024,2024-06-29,537.36414,3.71,0.45,0.42,0.44,50.88,6.14,3.67,11.69,1.63,25.54,19.34,5.9,6.21,5.96,6.0,43.0,25.0,97.0,10.0,2.0,2.0,1.0,27.0,27.0,41.0,66.0,21.0,8.0,1.23,2.68,2.23,0.0,1.0,1.0,97.25,68.0,68.65,0.78,0.6,1.96,4.95,4.98,4.93,49.0,17.96,16.0,59.0,4.78,7.0,2.0,3.33,4.3,0.45999999999999996,0.53,0.415,0.43,35.095,4.35,2.4699999999999998,1.145,17.13,4.155,4.41,4.21,4.5,30.0,8.5,3.0,1.5,0.0,19.5,27.0,43.5,13.0,6.0,0.915,1.6500000000000001,1.7850000000000001,1.0,1.5,46.5,47.53,0.525,3.37,3.415,3.37,0.42500000000000004,0.485,0.49,0.2,2.48,0.2,0.2,0.2,1.0,0.0,0.115,0.0,6.0,0.245
320,8476913,2024,2024-06-29,564.3852,4.97,0.57,0.51,0.53,19.05,1.51,1.27,4.54,0.64,11.26,7.77,1.51,1.54,1.54,2.0,15.0,12.0,38.0,4.0,1.0,0.0,0.0,12.0,6.0,14.0,26.0,5.0,0.0,0.84,0.67,0.0,0.0,1.0,0.0,38.88,27.0,27.44,0.26,0.0,0.0,1.78,1.81,1.8,17.0,6.84,9.0,26.0,0.95,3.0,1.0,0.01,6.672,0.4699999999999999,0.518,0.45,0.45600000000000007,33.846000000000004,3.646,2.332,1.0779999999999998,17.956,3.5620000000000003,3.685999999999999,3.6,3.8,32.2,8.8,3.4,0.4,1.0,18.2,28.8,42.8,12.0,3.2,1.072,1.5,1.0719999999999998,2.0,0.8,46.2,46.528,0.49000000000000005,3.54,3.56,3.526,0.6,0.5599999999999999,0.44500000000000006,0.19,1.58,0.185,0.20500000000000002,0.2,0.5,0.0,0.08,0.0,4.0,0.24
321,8478508,2024,2024-06-29,549.7796,26.18,0.48,0.47,0.47,137.69,15.64,9.72,32.25,4.62,68.95,53.8,15.18,15.85,15.38,3.0,116.0,69.0,243.0,17.0,12.0,10.0,1.0,64.0,85.0,104.0,173.0,45.0,19.0,3.57,5.7,6.37,2.0,5.0,5.0,248.13,185.0,188.21,2.08,1.5,3.41,14.31,14.5,14.27,82.0,49.93,43.0,132.0,18.07,14.0,16.0,10.61,18.818,0.488,0.492,0.4699999999999999,0.4779999999999999,104.10799999999999,11.608,7.361999999999999,3.496,54.05,11.139999999999999,11.74,11.266000000000002,4.4,95.8,16.4,9.6,1.4,2.4,54.2,86.2,132.2,35.6,12.6,3.0220000000000002,4.398,4.1899999999999995,3.6,3.4,141.8,143.412,1.5719999999999998,10.67,10.797999999999998,10.597999999999999,0.4033333333333333,0.3866666666666667,0.46666666666666673,0.9900000000000001,4.766666666666667,0.9466666666666667,0.9733333333333333,0.9333333333333335,2.0,1.0,0.25999999999999995,0.26,12.666666666666666,0.9733333333333333
