playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8474625,2011,Jimmy Hayes,CHI,R,other,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474625,2011,Jimmy Hayes,CHI,R,all,2,1216.0,30.0,1.31,0.84,0.63,0.8,0.66,0.77,0.68,23.0,3.69,0.67,0.32,0.73,0.16,2.01,1.11,0.67,0.65,0.65,0.0,0.0,4.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,2.0,15.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.03,0.29,0.35,0.0,0.0,0.0,6.98,5.0,4.91,0.0,0.07,0.0,0.35,0.39,0.39,0.39,30.0,11.0,0.0,5.0,14.0,5.0,6.0,2.0,17.0,1.0,0.0,6148.0,15.0,0.0,0.0,1.0,17.41,1.69,1.63,1.61,1.56,15.0,9.0,13.0,37.0,0.0,2.0,0.0,18.0,4.0,2.0,0.61,0.43,0.65,0.0,0.0,0.0,36.09,24.0,23.28,0.27,0.65,0.65,1.31,1.26,1.22,4.96,0.33,0.33,0.34,0.34,7.0,0.0,2.0,9.0,1.0,0.0,0.0,5.0,2.0,0.0,0.11,0.22,0.0,1.0,0.0,0.0,9.58,7.0,7.52,0.06,0.0,0.0,0.38,0.4,0.4,4.41,2.64,127.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
8474625,2011,Jimmy Hayes,CHI,R,5on5,2,1205.0,29.0,1.31,0.84,0.72,0.8,0.71,0.77,0.75,20.0,3.69,0.67,0.32,0.73,0.16,2.01,1.11,0.67,0.65,0.65,0.0,0.0,4.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,2.0,15.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.03,0.29,0.35,0.0,0.0,0.0,6.98,5.0,4.91,0.0,0.07,0.0,0.35,0.39,0.39,0.39,29.0,10.0,0.0,5.0,14.0,5.0,6.0,2.0,16.0,1.0,0.0,4475.0,15.0,0.0,0.0,1.0,17.41,1.69,1.63,1.61,1.56,15.0,9.0,13.0,37.0,0.0,2.0,0.0,18.0,4.0,2.0,0.61,0.43,0.65,0.0,0.0,0.0,36.09,24.0,23.28,0.27,0.65,0.65,1.31,1.26,1.22,4.96,0.33,0.33,0.34,0.34,7.0,0.0,2.0,9.0,1.0,0.0,0.0,5.0,2.0,0.0,0.11,0.22,0.0,1.0,0.0,0.0,9.58,7.0,7.52,0.06,0.0,0.0,0.38,0.4,0.4,3.86,1.48,100.0,41.0,0.01,0.0,1.0,0.0,1.0,0.0
8474625,2011,Jimmy Hayes,CHI,R,4on5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8474625,2011,Jimmy Hayes,CHI,R,5on4,2,11.0,1.0,0.61,0.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471816,2011,Mark Fayne,N.J,D,other,24,887.0,22.0,7.35,0.81,0.43,0.31,0.45,0.31,0.42,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,7.0,7.0,6.0,2.0,4.0,1.0,15.0,0.0,0.0,1147.0,0.0,2.0,1.0,5.0,3.57,1.81,1.81,1.81,1.81,4.0,1.0,4.0,9.0,2.0,0.0,0.0,3.0,0.0,2.0,0.1,0.0,1.71,0.0,0.0,2.0,9.0,5.0,5.0,0.04,0.0,0.0,1.84,1.84,1.84,7.76,0.42,0.41,0.42,0.41,6.0,5.0,9.0,20.0,0.0,1.0,0.0,10.0,1.0,0.0,0.33,0.08,0.0,0.0,0.0,0.0,20.0,11.0,11.0,0.15,0.06,0.06,0.51,0.51,0.51,2.55,3.33,22.0,27.0,0.07,0.0,1.0,0.0,1.0,0.0
8471816,2011,Mark Fayne,N.J,D,all,24,29257.0,701.0,8.9,0.52,0.52,0.51,0.53,0.52,0.52,93.0,30.67,0.98,1.88,8.25,1.03,20.08,14.78,0.96,0.98,0.97,2.0,1.0,30.0,17.0,31.0,78.0,3.0,0.0,6.0,0.0,7.0,4.0,18.0,12.0,30.0,47.0,3.0,6.0,0.0,15.0,3.0,13.0,46.0,1.0,0.0,0.88,0.1,0.0,0.0,0.0,0.0,78.11,47.0,47.16,10.0,0.39,0.86,0.14,1.23,1.24,1.22,701.0,61.0,76.0,155.0,409.0,64.0,70.0,95.0,472.0,0.0,0.0,61604.0,6.0,8.0,4.0,31.0,213.68,19.3,18.88,19.38,18.96,205.0,92.0,102.0,399.0,16.0,17.0,3.0,228.0,52.0,17.0,6.78,6.59,5.92,3.0,7.0,6.0,399.86,297.0,299.02,2.98,2.84,2.9,19.38,19.48,19.26,202.54,17.84,17.11,17.83,17.1,203.0,74.0,109.0,386.0,14.0,18.0,6.0,203.0,57.0,17.0,5.53,6.79,5.52,2.0,6.0,6.0,382.7,277.0,275.43,2.8,4.18,4.18,16.47,16.49,16.26,43.54,39.44,899.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0
8471816,2011,Mark Fayne,N.J,D,5on5,24,24554.0,560.0,8.9,0.55,0.56,0.54,0.53,0.54,0.52,90.0,25.44,0.78,1.49,7.0,0.88,16.8,12.06,0.77,0.78,0.77,1.0,0.0,25.0,14.0,28.0,67.0,1.0,0.0,6.0,0.0,5.0,3.0,14.0,11.0,25.0,39.0,3.0,6.0,0.0,13.0,2.0,11.0,38.0,1.0,0.0,0.68,0.1,0.0,0.0,0.0,0.0,67.11,39.0,39.16,8.0,0.3,0.86,0.14,0.94,0.94,0.93,560.0,50.0,38.0,128.0,344.0,56.0,49.0,79.0,376.0,0.0,0.0,47839.0,6.0,6.0,3.0,21.0,187.73,15.67,15.29,15.75,15.37,178.0,82.0,91.0,351.0,12.0,15.0,3.0,198.0,48.0,14.0,5.98,5.96,3.73,3.0,6.0,3.0,351.86,260.0,262.02,2.63,2.66,2.72,15.58,15.68,15.49,159.82,13.01,12.44,13.0,12.43,161.0,58.0,81.0,300.0,9.0,14.0,4.0,164.0,43.0,12.0,4.48,4.97,3.56,2.0,4.0,3.0,296.71,219.0,217.43,1.99,3.32,3.32,11.68,11.7,11.58,28.26,22.61,664.0,597.0,1.51,0.19,36.0,7.0,21.0,6.0
8471816,2011,Mark Fayne,N.J,D,4on5,24,2754.0,85.0,8.9,0.16,0.06,0.27,0.11,0.31,0.12,76.0,1.26,0.03,0.05,0.22,0.04,0.46,1.2,0.03,0.03,0.03,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.02,0.0,0.0,0.04,0.04,0.04,85.0,2.0,28.0,13.0,42.0,3.0,14.0,9.0,59.0,0.0,0.0,4699.0,0.0,0.0,0.0,0.0,12.4,0.74,0.72,0.74,0.72,12.0,6.0,3.0,21.0,0.0,2.0,0.0,16.0,2.0,0.0,0.46,0.28,0.0,0.0,0.0,0.0,21.0,18.0,18.0,0.13,0.18,0.18,0.69,0.69,0.69,29.65,3.88,3.79,3.88,3.79,29.0,11.0,18.0,58.0,5.0,2.0,2.0,25.0,11.0,4.0,0.66,1.47,1.75,0.0,2.0,3.0,58.0,40.0,40.0,0.58,0.59,0.59,3.87,3.87,3.82,0.57,8.31,17.0,135.0,0.02,0.0,1.0,0.0,1.0,0.0
8471816,2011,Mark Fayne,N.J,D,5on4,24,1062.0,34.0,6.7,0.67,0.86,0.69,0.84,0.67,0.81,63.0,3.97,0.17,0.34,1.03,0.12,2.82,1.52,0.17,0.17,0.17,0.0,0.0,4.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,1.0,0.08,0.0,0.0,0.25,0.25,0.24,34.0,7.0,3.0,7.0,17.0,3.0,3.0,6.0,22.0,0.0,0.0,5541.0,0.0,0.0,0.0,3.0,9.97,1.08,1.06,1.08,1.06,11.0,3.0,4.0,18.0,2.0,0.0,0.0,11.0,2.0,1.0,0.25,0.36,0.48,0.0,1.0,1.0,18.0,14.0,14.0,0.18,0.0,0.0,1.26,1.26,1.24,5.31,0.54,0.47,0.54,0.47,7.0,0.0,1.0,8.0,0.0,1.0,0.0,4.0,2.0,1.0,0.06,0.26,0.21,0.0,0.0,0.0,8.0,7.0,7.0,0.08,0.21,0.21,0.4,0.4,0.35,6.93,1.11,134.0,25.0,0.0,0.03,0.0,1.0,0.0,1.0
