playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471702,2019,Matt Niskanen,PHI,D,other,15,1179.0,25.0,0.65,0.38,0.66,0.41,0.51,0.38,0.46,32.0,0.68,0.01,0.09,0.26,0.04,0.51,0.09,0.01,0.01,0.01,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.02,0.0,0.01,0.02,0.02,0.02,25.0,7.0,4.0,2.0,12.0,3.0,3.0,5.0,14.0,0.0,0.0,1598.0,0.0,0.0,0.0,2.0,9.66,2.04,1.97,2.04,1.97,9.0,4.0,5.0,18.0,1.0,2.0,1.0,8.0,2.0,3.0,0.2,0.23,1.62,0.0,0.0,1.0,18.0,13.0,13.0,0.24,0.87,0.87,1.41,1.41,1.33,14.72,3.35,3.13,3.35,3.13,17.0,4.0,5.0,26.0,3.0,2.0,0.0,8.0,7.0,6.0,0.28,0.96,2.11,1.0,0.0,2.0,26.0,21.0,21.0,0.32,0.5,0.77,2.9,2.9,2.67,2.58,1.35,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8471702,2019,Matt Niskanen,PHI,D,all,15,20753.0,456.0,2.33,0.41,0.46,0.44,0.51,0.43,0.5,36.0,12.49,0.46,0.9,3.47,0.46,8.07,5.65,0.45,0.47,0.46,0.0,1.0,11.0,8.0,20.0,39.0,2.0,1.0,2.0,0.0,2.0,1.0,9.0,4.0,10.0,18.0,3.0,6.0,0.0,30.0,2.0,18.0,18.0,1.0,0.0,0.38,0.08,0.0,1.0,0.0,0.0,39.8,19.0,19.38,16.0,0.2,0.49,0.01,0.65,0.66,0.65,456.0,52.0,68.0,71.0,265.0,61.0,55.0,66.0,274.0,0.0,0.0,36251.0,6.0,2.0,1.0,30.0,142.72,13.77,13.48,13.83,13.54,125.0,79.0,76.0,280.0,12.0,11.0,2.0,152.0,36.0,16.0,4.13,4.56,5.07,7.0,1.0,4.0,283.72,204.0,206.52,2.15,2.64,2.64,13.27,13.3,13.07,190.99,19.47,18.93,19.57,19.03,186.0,86.0,81.0,353.0,18.0,13.0,3.0,209.0,45.0,18.0,6.15,5.77,7.55,5.0,7.0,6.0,352.28,272.0,270.51,3.0,4.05,4.32,18.16,18.25,17.79,24.38,28.43,597.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0
8471702,2019,Matt Niskanen,PHI,D,5on5,15,15277.0,338.0,2.33,0.5,0.44,0.47,0.49,0.46,0.49,53.0,8.77,0.33,0.5,2.49,0.29,5.44,3.95,0.32,0.33,0.33,0.0,1.0,7.0,6.0,15.0,28.0,2.0,1.0,2.0,0.0,2.0,1.0,5.0,2.0,6.0,12.0,2.0,4.0,0.0,25.0,2.0,13.0,13.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,28.8,13.0,13.38,11.0,0.1,0.49,0.0,0.43,0.44,0.43,338.0,40.0,35.0,55.0,208.0,52.0,38.0,47.0,201.0,0.0,0.0,29547.0,4.0,0.0,0.0,19.0,117.15,10.37,10.15,10.43,10.21,102.0,65.0,57.0,224.0,11.0,8.0,1.0,125.0,31.0,11.0,3.47,3.93,2.97,7.0,1.0,3.0,227.72,167.0,169.52,1.6,1.76,1.78,10.19,10.21,10.07,138.17,10.4,10.21,10.5,10.3,124.0,73.0,56.0,253.0,8.0,4.0,0.0,161.0,30.0,6.0,5.1,3.8,1.5,4.0,4.0,0.0,252.28,197.0,195.51,1.88,0.98,0.98,11.3,11.39,11.22,17.32,22.49,480.0,491.0,0.35,0.07,23.0,2.0,13.0,2.0
8471702,2019,Matt Niskanen,PHI,D,4on5,15,2634.0,60.0,2.33,0.08,0.03,0.08,0.16,0.11,0.14,30.0,0.3,0.01,0.07,0.14,0.05,0.41,0.32,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.01,0.0,0.0,0.02,0.02,0.02,60.0,0.0,27.0,11.0,22.0,2.0,11.0,13.0,34.0,0.0,0.0,2232.0,0.0,2.0,1.0,0.0,4.06,0.46,0.46,0.46,0.46,6.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.18,0.0,0.27,0.0,0.0,0.0,6.0,6.0,6.0,0.05,0.0,0.0,0.51,0.51,0.51,36.39,5.56,5.43,5.56,5.43,42.0,9.0,20.0,71.0,6.0,7.0,3.0,38.0,7.0,6.0,0.73,0.88,3.94,0.0,2.0,4.0,71.0,51.0,51.0,0.77,2.57,2.57,3.75,3.75,3.7,0.13,3.99,9.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0
8471702,2019,Matt Niskanen,PHI,D,5on4,15,1663.0,33.0,1.5,0.84,0.88,0.91,0.88,0.86,0.84,35.0,2.75,0.11,0.24,0.58,0.08,1.72,1.28,0.11,0.11,0.11,0.0,0.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,8.0,4.0,4.0,1.0,0.06,0.0,0.0,0.17,0.17,0.17,33.0,5.0,2.0,3.0,23.0,4.0,3.0,1.0,25.0,0.0,0.0,2820.0,2.0,0.0,0.0,9.0,11.85,0.91,0.91,0.91,0.91,8.0,10.0,14.0,32.0,0.0,1.0,0.0,14.0,3.0,1.0,0.28,0.41,0.22,0.0,0.0,0.0,32.0,18.0,18.0,0.26,0.02,0.0,1.17,1.17,1.16,1.7,0.17,0.17,0.17,0.17,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.04,0.14,0.0,0.0,1.0,0.0,3.0,3.0,3.0,0.03,0.0,0.0,0.2,0.2,0.2,4.34,0.59,78.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8471707,2019,James Neal,EDM,L,other,4,171.0,4.0,2.65,1.0,0.21,1.0,0.29,1.0,0.36,16.0,0.67,0.03,0.06,0.11,0.02,0.61,0.17,0.03,0.03,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.04,0.04,0.04,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,4.5,0.47,0.46,0.47,0.46,5.0,2.0,1.0,8.0,1.0,0.0,0.0,5.0,1.0,1.0,0.17,0.09,0.21,0.0,1.0,0.0,8.0,7.0,7.0,0.1,0.0,0.0,0.57,0.57,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.28,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8471707,2019,James Neal,EDM,L,all,4,3071.0,69.0,3.88,0.83,0.55,0.68,0.47,0.68,0.47,33.0,11.13,1.17,0.95,2.44,0.44,6.1,3.89,1.07,1.18,1.08,1.0,0.0,11.0,4.0,3.0,18.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,7.0,9.0,13.0,0.0,0.0,1.0,6.0,1.0,2.0,9.0,5.0,1.0,0.26,0.59,0.32,0.0,1.0,1.0,18.06,15.0,15.0,1.0,0.21,0.0,0.32,1.05,1.06,1.01,69.0,14.0,4.0,6.0,45.0,11.0,9.0,14.0,35.0,1.0,1.0,11329.0,0.0,0.0,0.0,1.0,39.18,5.5,4.33,5.52,4.33,42.0,10.0,15.0,67.0,6.0,5.0,2.0,34.0,10.0,8.0,0.9,1.11,3.5,0.0,3.0,3.0,67.09,52.0,51.83,0.75,1.75,1.75,4.5,4.51,4.19,17.39,1.09,1.08,1.09,1.08,17.0,7.0,7.0,31.0,1.0,2.0,0.0,19.0,5.0,0.0,0.5,0.59,0.0,1.0,0.0,0.0,31.08,24.0,24.06,0.22,0.06,0.06,1.25,1.25,1.24,11.61,9.48,170.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0
8471707,2019,James Neal,EDM,L,5on5,4,2264.0,51.0,3.88,0.63,0.61,0.57,0.53,0.57,0.52,37.0,7.77,0.7,0.55,1.75,0.26,4.42,3.32,0.7,0.71,0.7,1.0,0.0,7.0,4.0,3.0,14.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,6.0,10.0,0.0,0.0,1.0,6.0,0.0,2.0,7.0,4.0,0.0,0.21,0.49,0.0,0.0,1.0,0.0,14.06,11.0,11.0,1.0,0.12,0.0,0.0,0.81,0.82,0.82,51.0,4.0,2.0,6.0,39.0,8.0,8.0,9.0,26.0,1.0,1.0,8278.0,0.0,0.0,0.0,1.0,21.42,1.81,1.63,1.83,1.63,23.0,6.0,10.0,39.0,3.0,1.0,0.0,21.0,6.0,2.0,0.64,0.66,0.52,0.0,2.0,1.0,39.09,29.0,28.83,0.3,0.02,0.02,2.1,2.11,1.9,15.99,1.06,1.05,1.06,1.05,15.0,7.0,7.0,29.0,1.0,2.0,0.0,17.0,5.0,0.0,0.47,0.59,0.0,1.0,0.0,0.0,29.08,22.0,22.06,0.21,0.06,0.06,1.22,1.21,1.2,7.71,4.99,136.0,121.0,0.0,0.17,0.0,3.0,0.0,3.0
8471707,2019,James Neal,EDM,L,4on5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471707,2019,James Neal,EDM,L,5on4,4,636.0,14.0,3.88,0.99,0.84,0.91,0.84,0.89,0.79,19.0,2.68,0.44,0.35,0.58,0.16,1.08,0.4,0.35,0.44,0.35,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.1,0.32,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.08,0.0,0.32,0.19,0.19,0.15,14.0,9.0,2.0,0.0,3.0,3.0,1.0,4.0,6.0,0.0,0.0,1039.0,0.0,0.0,0.0,0.0,13.27,3.22,2.24,3.22,2.24,14.0,2.0,4.0,20.0,2.0,4.0,2.0,8.0,3.0,5.0,0.09,0.36,2.77,0.0,0.0,2.0,20.0,16.0,16.0,0.34,1.73,1.73,1.83,1.83,1.73,1.4,0.03,0.03,0.03,0.03,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,0.04,0.04,0.04,3.08,0.57,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
