playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477500,2022,Bo Horvat,NYI,C,other,6,290.0,7.0,1.79,0.92,0.11,0.8,0.21,0.75,0.18,14.0,0.79,0.1,0.04,0.16,0.02,0.46,0.21,0.1,0.1,0.1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.12,0.12,0.12,7.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,5.0,4.0,2.0,406.0,0.0,0.0,0.0,0.0,4.21,0.85,0.66,0.85,0.66,3.0,3.0,2.0,8.0,1.0,0.0,0.0,1.0,4.0,1.0,0.07,0.5,0.27,0.0,1.0,0.0,8.0,6.0,6.0,0.1,0.0,0.0,0.95,0.95,0.74,1.44,0.07,0.07,0.07,0.07,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,0.09,0.09,0.09,0.15,1.17,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2022,Bo Horvat,NYI,C,all,6,7101.0,147.0,2.4,0.62,0.41,0.54,0.43,0.54,0.43,12.0,10.44,1.02,0.7,2.46,0.37,6.12,4.33,1.0,1.02,1.0,1.0,0.0,8.0,7.0,2.0,17.0,2.0,1.0,1.0,0.0,4.0,0.0,6.0,3.0,7.0,14.0,0.0,0.0,71.0,8.0,3.0,4.0,10.0,5.0,0.0,0.29,0.74,0.0,0.0,1.0,0.0,17.12,15.0,15.16,2.0,0.15,0.22,0.0,1.17,1.17,1.15,147.0,30.0,34.0,13.0,70.0,18.0,18.0,19.0,92.0,71.0,66.0,15162.0,0.0,2.0,1.0,3.0,72.53,6.44,6.11,6.47,6.14,68.0,33.0,27.0,128.0,4.0,5.0,0.0,73.0,22.0,6.0,2.03,2.88,1.53,0.0,3.0,1.0,127.53,101.0,101.18,1.21,0.92,0.92,6.73,6.76,6.45,60.33,4.03,3.94,4.07,3.98,55.0,30.0,22.0,107.0,2.0,1.0,0.0,72.0,9.0,4.0,1.78,1.1,1.15,2.0,0.0,0.0,107.51,85.0,85.67,0.78,0.43,0.43,4.37,4.4,4.3,10.87,15.71,227.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2022,Bo Horvat,NYI,C,5on5,6,5246.0,116.0,2.4,0.53,0.43,0.5,0.45,0.49,0.44,15.0,8.35,0.63,0.54,2.11,0.29,4.96,3.47,0.62,0.62,0.62,0.0,0.0,7.0,5.0,2.0,14.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,3.0,7.0,12.0,0.0,0.0,49.0,8.0,2.0,4.0,10.0,2.0,0.0,0.29,0.34,0.0,0.0,0.0,0.0,14.12,12.0,12.16,2.0,0.11,0.22,0.0,0.74,0.73,0.73,116.0,16.0,27.0,10.0,63.0,16.0,16.0,13.0,71.0,49.0,52.0,12256.0,0.0,0.0,0.0,3.0,52.87,3.89,3.82,3.92,3.85,50.0,23.0,21.0,94.0,2.0,4.0,0.0,56.0,13.0,4.0,1.26,1.66,0.97,0.0,1.0,1.0,93.53,73.0,73.18,0.7,0.64,0.64,3.95,3.98,3.92,53.08,3.49,3.4,3.53,3.44,47.0,28.0,19.0,94.0,2.0,1.0,0.0,63.0,9.0,3.0,1.52,1.1,0.86,2.0,0.0,0.0,94.52,75.0,75.67,0.68,0.43,0.43,3.74,3.76,3.67,8.29,10.82,201.0,243.0,0.18,0.14,2.0,4.0,2.0,2.0
8477500,2022,Bo Horvat,NYI,C,4on5,6,314.0,9.0,1.5,0.61,0.07,0.25,0.17,0.4,0.23,20.0,0.75,0.14,0.06,0.07,0.02,0.24,0.47,0.14,0.14,0.14,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.15,0.15,0.15,9.0,0.0,6.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,1166.0,0.0,0.0,0.0,0.0,1.49,0.18,0.18,0.18,0.18,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04,0.14,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.02,0.0,0.0,0.2,0.2,0.2,2.02,0.11,0.11,0.11,0.11,2.0,1.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.04,0.0,0.0,0.16,0.16,0.16,0.19,2.58,6.0,30.0,0.0,0.06,0.0,1.0,0.0,1.0
8477500,2022,Bo Horvat,NYI,C,5on4,6,1251.0,15.0,2.38,0.81,0.77,0.83,0.87,0.8,0.83,10.0,0.55,0.15,0.06,0.11,0.03,0.46,0.18,0.14,0.15,0.14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.17,0.17,0.16,15.0,12.0,0.0,1.0,2.0,1.0,1.0,2.0,11.0,13.0,1.0,640.0,0.0,2.0,1.0,0.0,13.96,1.53,1.46,1.53,1.46,13.0,7.0,4.0,24.0,0.0,1.0,0.0,15.0,4.0,1.0,0.66,0.58,0.28,0.0,0.0,0.0,24.0,20.0,20.0,0.38,0.28,0.28,1.63,1.63,1.59,3.79,0.36,0.36,0.36,0.36,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,0.07,0.0,0.28,0.0,0.0,0.0,5.0,5.0,5.0,0.04,0.0,0.0,0.39,0.39,0.39,1.14,0.35,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8473504,2022,Cal Clutterbuck,NYI,R,other,6,134.0,4.0,-1.25,0.93,0.49,0.4,0.33,0.5,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,1.31,1.09,0.85,1.09,0.85,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.09,0.0,0.0,1.0,2.0,2.0,2.0,0.02,0.0,0.0,1.1,1.1,0.86,1.24,0.08,0.08,0.08,0.08,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.12,0.12,0.12,0.24,0.25,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8473504,2022,Cal Clutterbuck,NYI,R,all,6,4422.0,117.0,-1.48,0.35,0.49,0.24,0.51,0.26,0.5,56.0,5.06,0.58,0.34,1.25,0.17,2.67,1.99,0.58,0.57,0.57,0.0,0.0,3.0,4.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,3.0,6.0,0.0,24.0,1.0,1.0,6.0,0.0,1.0,0.28,0.0,0.3,1.0,0.0,0.0,7.83,7.0,6.82,0.0,0.07,0.0,0.0,0.65,0.64,0.64,117.0,4.0,31.0,21.0,61.0,10.0,20.0,14.0,73.0,0.0,0.0,17841.0,6.0,2.0,1.0,4.0,16.35,2.29,2.05,2.29,2.06,14.0,9.0,11.0,34.0,3.0,1.0,0.0,17.0,3.0,3.0,0.53,0.38,1.38,1.0,1.0,1.0,33.66,23.0,22.98,0.21,0.12,0.12,2.38,2.38,2.13,47.5,4.32,4.25,4.29,4.21,41.0,25.0,40.0,106.0,7.0,5.0,0.0,50.0,12.0,4.0,1.16,1.62,1.54,2.0,4.0,1.0,104.68,66.0,65.32,0.83,0.59,0.59,4.56,4.51,4.47,15.01,15.41,321.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0
8473504,2022,Cal Clutterbuck,NYI,R,5on5,6,3354.0,90.0,-1.48,0.33,0.48,0.3,0.5,0.3,0.49,66.0,5.06,0.58,0.34,1.25,0.17,2.67,1.99,0.58,0.57,0.57,0.0,0.0,3.0,4.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,3.0,6.0,0.0,23.0,1.0,1.0,6.0,0.0,1.0,0.28,0.0,0.3,1.0,0.0,0.0,7.83,7.0,6.82,0.0,0.07,0.0,0.0,0.65,0.64,0.64,90.0,2.0,21.0,16.0,51.0,10.0,15.0,8.0,57.0,0.0,0.0,14148.0,6.0,2.0,1.0,3.0,15.04,1.21,1.21,1.21,1.21,13.0,8.0,11.0,32.0,2.0,1.0,0.0,17.0,3.0,1.0,0.53,0.38,0.3,1.0,1.0,0.0,31.66,21.0,20.98,0.19,0.12,0.12,1.28,1.27,1.27,34.58,2.51,2.45,2.47,2.41,29.0,19.0,25.0,73.0,4.0,2.0,0.0,38.0,8.0,2.0,0.78,1.19,0.54,2.0,2.0,0.0,71.68,48.0,47.32,0.46,0.44,0.44,2.53,2.48,2.44,10.97,11.79,263.0,264.0,0.0,0.21,1.0,5.0,0.0,5.0
8473504,2022,Cal Clutterbuck,NYI,R,4on5,6,919.0,21.0,-1.48,0.0,0.18,0.0,0.29,0.0,0.34,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,10.0,4.0,6.0,0.0,4.0,5.0,12.0,0.0,0.0,1213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,1.73,1.72,1.73,1.72,11.0,5.0,14.0,30.0,3.0,3.0,0.0,10.0,4.0,2.0,0.3,0.43,1.0,0.0,2.0,1.0,30.0,16.0,16.0,0.34,0.16,0.16,1.92,1.92,1.91,0.38,1.76,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8473504,2022,Cal Clutterbuck,NYI,R,5on4,6,15.0,2.0,-1.25,0.0,0.35,0.0,0.75,0.0,0.7,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,683.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.31,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
