,playerId,action_season,name,team,action_date
96,8477948,2023,Travis Sanheim,PHI,2023-06-28
97,8476372,2023,Nick Seeler,PHI,2023-06-28
98,8481546,2023,Cam York,PHI,2023-06-28
99,8481178,2023,Egor Zamula,PHI,2023-06-28
100,8481035,2023,Samuel Ersson,PHI,2023-06-28
101,8478905,2023,Ivan Fedotov,PHI,2023-06-28
102,8478427,2023,Sebastian Aho,CAR,2023-06-28
103,8482809,2023,Jackson Blake,CAR,2023-06-28
104,8480835,2023,Jack Drury,CAR,2023-06-28
105,8475855,2023,Jesper Fast,CAR,2023-06-28
106,8482093,2023,Seth Jarvis,CAR,2023-06-28
107,8480829,2023,Jesperi Kotkaniemi,CAR,2023-06-28
108,8475744,2023,Evgeny Kuznetsov,CAR,2023-06-28
109,8477962,2023,Brendan Lemieux,CAR,2023-06-28
110,8484203,2023,Bradly Nadeau,CAR,2023-06-28
111,8480039,2023,Martin Necas,CAR,2023-06-28
112,8473533,2023,Jordan Staal,CAR,2023-06-28
113,8481576,2023,Ryan Suzuki,CAR,2023-06-28
114,8480830,2023,Andrei Svechnikov,CAR,2023-06-28
115,8470613,2023,Brent Burns,CAR,2023-06-28
116,8478970,2023,Jalen Chatfield,CAR,2023-06-28
117,8479639,2023,Dylan Coghlan,CAR,2023-06-28
118,8482666,2023,Scott Morrow,CAR,2023-06-28
119,8475200,2023,Dmitry Orlov,CAR,2023-06-28
120,8482187,2023,Ronan Seeley,CAR,2023-06-28
121,8476958,2023,Jaccob Slavin,CAR,2023-06-28
122,8475883,2023,Frederik Andersen,CAR,2023-06-28
123,8481611,2023,Pyotr Kochetkov,CAR,2023-06-28
124,8477484,2023,Spencer Martin,CAR,2023-06-28
125,8474150,2023,Mikael Backlund,CGY,2023-06-28
126,8476399,2023,Blake Coleman,CGY,2023-06-28
127,8482652,2023,Walker Duehr,CGY,2023-06-28
128,8476456,2023,Jonathan Huberdeau,CGY,2023-06-28
129,8478211,2023,Dryden Hunt,CGY,2023-06-28
130,8475172,2023,Nazem Kadri,CGY,2023-06-28
131,8483808,2023,Andrei Kuzmenko,CGY,2023-06-28
132,8481028,2023,Martin Pospisil,CGY,2023-06-28
133,8479291,2023,Kevin Rooney,CGY,2023-06-28
134,8481068,2023,Yegor Sharangovich,CGY,2023-06-28
135,8482074,2023,Connor Zary,CGY,2023-06-28
136,8478397,2023,Rasmus Andersson,CGY,2023-06-28
137,8480860,2023,Kevin Bahl,CGY,2023-06-28
138,8477810,2023,Joel Hanley,CGY,2023-06-28
139,8482624,2023,Daniil Miromanov,CGY,2023-06-28
140,8481537,2023,Nikita Okhotiuk,CGY,2023-06-28
141,8481167,2023,Brayden Pachal,CGY,2023-06-28
142,8482470,2023,Ilya Solovyov,CGY,2023-06-28
143,8477346,2023,MacKenzie Weegar,CGY,2023-06-28
144,8478435,2023,Dan Vladar,CGY,2023-06-28
145,8476981,2023,Josh Anderson,MTL,2023-06-28
146,8476469,2023,Joel Armia,MTL,2023-06-28
147,8481540,2023,Cole Caufield,MTL,2023-06-28
148,8481523,2023,Kirby Dach,MTL,2023-06-28
149,8477989,2023,Christian Dvorak,MTL,2023-06-28
150,8478133,2023,Jake Evans,MTL,2023-06-28
151,8475848,2023,Brendan Gallagher,MTL,2023-06-28
152,8481093,2023,Rafael Harvey-Pinard,MTL,2023-06-28
153,8481618,2023,Alex Newhook,MTL,2023-06-28
154,8479543,2023,Michael Pezzetta,MTL,2023-06-28
155,8483515,2023,Juraj Slafkovsky,MTL,2023-06-28
156,8480018,2023,Nick Suzuki,MTL,2023-06-28
157,8482087,2023,Kaiden Guhle,MTL,2023-06-28
158,8480887,2023,Jordan Harris,MTL,2023-06-28
159,8483457,2023,Lane Hutson,MTL,2023-06-28
160,8476875,2023,Mike Matheson,MTL,2023-06-28
161,8475233,2023,David Savard,MTL,2023-06-28
162,8482964,2023,Arber Xhekaj,MTL,2023-06-28
163,8478470,2023,Sam Montembeault,MTL,2023-06-28
164,8480051,2023,Cayden Primeau,MTL,2023-06-28
165,8473563,2023,Nicklas Backstrom,WSH,2023-06-28
166,8475343,2023,Nic Dowd,WSH,2023-06-28
167,8479400,2023,Pierre-Luc Dubois,WSH,2023-06-28
168,8478233,2023,Andrew Mangiapane,WSH,2023-06-28
169,8481580,2023,Connor McMichael,WSH,2023-06-28
170,8477947,2023,Sonny Milano,WSH,2023-06-28
171,8471698,2023,T.J. Oshie,WSH,2023-06-28
