,playerId,name,season_type,situation,action_season,action_date,gamescore_toi
77,8470655,David Backes,playoffs,all,2014,2014-06-13,602.0
78,8470667,Clarke MacArthur,playoffs,all,2014,2014-06-13,588.0
79,8470724,Kyle Quincey,playoffs,all,2014,2014-06-13,572.0
80,8470740,Lee Stempniak,playoffs,all,2014,2014-06-13,574.0
81,8470755,Brad Richardson,playoffs,all,2014,2014-06-13,514.0
82,8470760,Marc Methot,playoffs,all,2014,2014-06-13,526.0
83,8470775,Nate Thompson,playoffs,all,2014,2014-06-13,584.0
84,8470778,Drew Miller,playoffs,all,2014,2014-06-13,502.0
85,8470803,Kyle Brodziak,playoffs,all,2014,2014-06-13,506.0
86,8470828,Toby Enstrom,playoffs,all,2014,2014-06-13,516.0
87,8470834,Dustin Byfuglien,playoffs,all,2014,2014-06-13,542.0
88,8470854,Tanner Glass,playoffs,all,2014,2014-06-13,502.0
89,8470877,David Jones,playoffs,all,2014,2014-06-13,600.0
90,8470886,Clayton Stoner,playoffs,all,2014,2014-06-13,532.0
91,8471185,Curtis Glencross,playoffs,all,2014,2014-06-13,516.0
92,8471214,Alex Ovechkin,playoffs,all,2014,2014-06-13,658.0
93,8471215,Evgeni Malkin,playoffs,all,2014,2014-06-13,530.0
94,8471217,Andrew Ladd,playoffs,all,2014,2014-06-13,568.0
95,8471218,Blake Wheeler,playoffs,all,2014,2014-06-13,538.0
96,8471226,Drew Stafford,playoffs,all,2014,2014-06-13,536.0
97,8471242,Mike Green,playoffs,all,2014,2014-06-13,546.0
98,8471254,Bryan Bickell,playoffs,all,2014,2014-06-13,544.0
99,8471260,Blake Comeau,playoffs,all,2014,2014-06-13,550.0
100,8471283,Brandon Prust,playoffs,all,2014,2014-06-13,614.0
101,8471296,Alexei Emelin,playoffs,all,2014,2014-06-13,544.0
102,8471303,Alexander Edler,playoffs,all,2014,2014-06-13,590.0
103,8471338,Torrey Mitchell,playoffs,all,2014,2014-06-13,596.0
104,8471339,Ryan Callahan,playoffs,all,2014,2014-06-13,588.0
105,8471346,Kris Versteeg,playoffs,all,2014,2014-06-13,578.0
106,8471390,Mike Santorelli,playoffs,all,2014,2014-06-13,608.0
107,8471426,Troy Brouwer,playoffs,all,2014,2014-06-13,544.0
108,8471436,Matt Hunwick,playoffs,all,2014,2014-06-13,540.0
109,8471476,Daniel Winnik,playoffs,all,2014,2014-06-13,418.0
110,8471498,Jannik Hansen,playoffs,all,2014,2014-06-13,658.0
111,8471664,Mason Raymond,playoffs,all,2014,2014-06-13,562.0
112,8471669,Paul Stastny,playoffs,all,2014,2014-06-13,594.0
113,8471675,Sidney Crosby,playoffs,all,2014,2014-06-13,660.0
114,8471676,Bobby Ryan,playoffs,all,2014,2014-06-13,574.0
115,8471686,Marc Staal,playoffs,all,2014,2014-06-13,488.0
